               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 111,            0.024547,           0.0081958,           0.0084201,              0.7624,             0.91047,              0.8592,             0.54359,            0.016304,           0.0054544,            0.018026,            0.007822,            0.007822,            0.007822
                 112,            0.028609,           0.0081702,           0.0072801,             0.57072,             0.91061,             0.70429,             0.36173,            0.021079,           0.0053564,            0.020011,           0.0078022,           0.0078022,           0.0078022
                 113,            0.033362,            0.007671,            0.004951,              0.7576,             0.91038,             0.78457,             0.54603,            0.015519,           0.0051135,            0.021295,           0.0077824,           0.0077824,           0.0077824
                 114,            0.029242,            0.010768,           0.0068086,              0.7539,             0.91284,               0.796,             0.55823,            0.014629,           0.0051394,             0.02325,           0.0077626,           0.0077626,           0.0077626
                 115,            0.028704,           0.0081317,           0.0024873,             0.75344,             0.90912,               0.796,             0.51861,            0.016825,           0.0050278,            0.026694,           0.0077428,           0.0077428,           0.0077428
                 116,            0.026692,           0.0093296,           0.0046711,              0.7535,             0.90836,               0.796,             0.45341,            0.021043,           0.0048461,            0.026422,            0.007723,            0.007723,            0.007723
                 117,            0.030276,           0.0095845,           0.0035259,             0.75348,             0.90685,               0.796,             0.54485,             0.01517,           0.0047628,            0.025424,           0.0077032,           0.0077032,           0.0077032
                 118,            0.031581,           0.0091519,           0.0039622,             0.75363,             0.90432,               0.796,             0.54008,            0.017302,           0.0046078,            0.025986,           0.0076834,           0.0076834,           0.0076834
                 119,            0.035172,           0.0080616,            0.003391,             0.75341,             0.88019,             0.78457,             0.54612,            0.018082,           0.0046987,            0.026958,           0.0076636,           0.0076636,           0.0076636
                 120,            0.029318,            0.007411,           0.0029684,              0.7416,             0.83033,             0.77243,             0.55253,            0.015082,           0.0045907,            0.031207,           0.0076438,           0.0076438,           0.0076438
                 121,            0.028633,           0.0079925,           0.0037973,             0.72498,             0.82817,             0.77243,              0.4339,            0.019424,           0.0045965,            0.033109,            0.007624,            0.007624,            0.007624
                 122,            0.032556,           0.0077403,           0.0019948,             0.71842,             0.82745,             0.75475,             0.48289,            0.016007,           0.0045924,            0.034652,           0.0076042,           0.0076042,           0.0076042
                 123,            0.028089,           0.0089849,            0.003323,             0.71665,             0.82027,             0.69125,             0.52354,             0.01393,           0.0045987,            0.037111,           0.0075844,           0.0075844,           0.0075844
                 124,            0.028985,           0.0080766,           0.0047486,             0.71659,             0.82036,             0.69125,             0.51424,            0.013475,           0.0045589,            0.036391,           0.0075646,           0.0075646,           0.0075646
                 125,            0.029164,           0.0088807,           0.0058669,             0.71677,             0.82356,             0.69125,             0.52361,            0.014045,           0.0047408,            0.034665,           0.0075448,           0.0075448,           0.0075448
                 126,            0.031803,           0.0098134,           0.0033405,             0.71694,             0.82571,             0.69125,             0.49407,            0.013863,           0.0050211,            0.033592,            0.007525,            0.007525,            0.007525
                 127,            0.030172,           0.0089464,           0.0035981,             0.71874,             0.82779,              0.6953,             0.38873,            0.020373,           0.0057675,             0.03181,           0.0075052,           0.0075052,           0.0075052
                 128,            0.030432,           0.0096239,            0.003809,             0.72006,              0.8277,              0.6953,             0.50476,            0.015325,           0.0049235,            0.031528,           0.0074854,           0.0074854,           0.0074854
                 129,            0.034058,           0.0093498,           0.0015774,             0.71994,             0.82741,             0.74505,             0.45843,            0.016482,             0.00473,            0.031339,           0.0074656,           0.0074656,           0.0074656
                 130,            0.024366,           0.0084956,           0.0037985,             0.71821,             0.82748,             0.74505,             0.49082,             0.01411,           0.0046573,            0.032365,           0.0074458,           0.0074458,           0.0074458
                 131,            0.031395,           0.0091167,           0.0016617,             0.72007,             0.82801,             0.74505,             0.52698,            0.015023,           0.0048062,            0.032543,            0.007426,            0.007426,            0.007426
                 132,            0.027363,           0.0083867,           0.0043402,             0.72318,             0.82833,             0.69125,             0.47426,            0.016632,           0.0051146,            0.032299,           0.0074062,           0.0074062,           0.0074062
